165801,,,P-12,,King Road,InPerson,,,DirectionsTurn left out of KH Right onto Maple StLeft onto Miner StRight onto Broad StContinue for 3.8 milesRight onto HWY 64Left onto King RdLeft onto Blantyre Church RdNote: On Blantyre Church Rd. Stop at View Drive. (Do Not work View Drive) Stop at county line before Transylvania Terrace.see backside for DNC,Territory Number: P12,"[-82.625565,35.299397],[-82.62473,35.29927],[-82.62375,35.299114],[-82.62374,35.299126],[-82.62372,35.29918],[-82.62357,35.299423],[-82.62313,35.300007],[-82.62299,35.300232],[-82.62283,35.300594],[-82.62263,35.301193],[-82.62259,35.30165],[-82.62261,35.301743],[-82.62259,35.30181],[-82.62259,35.302437],[-82.62255,35.30266],[-82.62241,35.30298],[-82.6223,35.303104],[-82.62217,35.30321],[-82.62206,35.303257],[-82.62197,35.303318],[-82.62177,35.303394],[-82.62126,35.303524],[-82.62107,35.303566],[-82.620285,35.303726],[-82.61996,35.30378],[-82.619576,35.303818],[-82.619995,35.3043],[-82.62076,35.30529],[-82.62088,35.30537],[-82.621185,35.305428],[-82.62153,35.305626],[-82.62214,35.30621],[-82.62427,35.309704],[-82.62432,35.30973],[-82.62757,35.311497],[-82.629486,35.30865],[-82.62949,35.306404],[-82.62952,35.306385],[-82.629906,35.30635],[-82.630844,35.306133],[-82.629906,35.30481],[-82.62979,35.304657],[-82.62972,35.30458],[-82.62952,35.30436],[-82.629295,35.30412],[-82.62916,35.304012],[-82.62898,35.303875],[-82.62886,35.303772],[-82.62871,35.303642],[-82.628586,35.303516],[-82.62846,35.303406],[-82.62827,35.30318],[-82.62813,35.302956],[-82.62801,35.30278],[-82.627846,35.30252],[-82.62765,35.30222],[-82.62755,35.30204],[-82.62746,35.301872],[-82.627426,35.301807],[-82.62727,35.30149],[-82.62708,35.301113],[-82.62695,35.30085],[-82.626854,35.300644],[-82.626755,35.300434],[-82.62654,35.300167],[-82.62637,35.29995],[-82.62635,35.29992],[-82.626434,35.299717],[-82.626465,35.29964],[-82.62652,35.29952],[-82.626144,35.299484],[-82.625565,35.299397]"
165816,,,P-14,,King Road,InPerson,,,DirectionsTurn left out of KH Right onto Maple StLeft onto Miner StRight onto Broad StContinue for 3.8 milesRight onto HWY 64Left onto King Rdsee backside for DNC,Territory Number: P14,"[-82.63323,35.305984],[-82.633026,35.305634],[-82.633,35.305435],[-82.633026,35.3053],[-82.632996,35.30515],[-82.63297,35.30504],[-82.63288,35.30473],[-82.632744,35.304596],[-82.63266,35.304535],[-82.632576,35.304493],[-82.63241,35.304424],[-82.6323,35.30441],[-82.63221,35.3044],[-82.632065,35.304394],[-82.63174,35.304417],[-82.63136,35.30444],[-82.630806,35.3045],[-82.63034,35.30458],[-82.630104,35.30463],[-82.62979,35.304657],[-82.63084,35.306133],[-82.632416,35.306667],[-82.631874,35.30762],[-82.63453,35.30941],[-82.63505,35.310863],[-82.63695,35.313698],[-82.63725,35.31403],[-82.63761,35.314533],[-82.63764,35.31459],[-82.637665,35.31459],[-82.63783,35.314377],[-82.638,35.31416],[-82.638535,35.313396],[-82.6388,35.313103],[-82.63897,35.31292],[-82.63912,35.3126],[-82.63931,35.3124],[-82.63947,35.312237],[-82.63964,35.31208],[-82.63965,35.31207],[-82.63955,35.311794],[-82.6395,35.311653],[-82.639435,35.311455],[-82.6392,35.3111],[-82.63883,35.31054],[-82.63868,35.310387],[-82.63865,35.31036],[-82.63845,35.310192],[-82.638374,35.310112],[-82.638306,35.309948],[-82.63828,35.309734],[-82.63825,35.30936],[-82.63825,35.30914],[-82.63825,35.308994],[-82.63825,35.308884],[-82.63826,35.308777],[-82.638245,35.308647],[-82.638214,35.30858],[-82.63816,35.308495],[-82.63811,35.30843],[-82.63796,35.30828],[-82.63762,35.30802],[-82.63713,35.307716],[-82.6369,35.307583],[-82.63653,35.307384],[-82.636345,35.307285],[-82.63622,35.307247],[-82.63554,35.30707],[-82.63525,35.30704],[-82.63472,35.306805],[-82.63442,35.30667],[-82.63417,35.306557],[-82.63372,35.306355],[-82.63358,35.306267],[-82.63348,35.3062],[-82.63323,35.305984]"
165825,,,P-17,,King Road,InPerson,,,Note: 4 x 4 recommendedDirectionsTurn left out of KH Right onto Maple StLeft onto Miner StRight onto Broad StRight onto King Rdsee backside for DNC,Territory Number: P17,"[-82.64109,35.312183],[-82.640175,35.312134],[-82.63966,35.31207],[-82.63964,35.312084],[-82.63947,35.312237],[-82.63931,35.3124],[-82.63912,35.3126],[-82.63897,35.31292],[-82.6388,35.313103],[-82.638535,35.313396],[-82.638,35.31416],[-82.637665,35.31459],[-82.63852,35.315918],[-82.64005,35.316658],[-82.64005,35.317352],[-82.64082,35.31763],[-82.64347,35.317085],[-82.645065,35.316208],[-82.64674,35.315613],[-82.64707,35.315655],[-82.64922,35.314903],[-82.65009,35.314713],[-82.65216,35.31395],[-82.653496,35.313293],[-82.65392,35.313194],[-82.655304,35.312885],[-82.65579,35.312878],[-82.65735,35.31264],[-82.65892,35.31184],[-82.65933,35.311626],[-82.664116,35.311592],[-82.66482,35.311504],[-82.66522,35.311455],[-82.66524,35.31146],[-82.665245,35.31145],[-82.66539,35.31131],[-82.665474,35.311234],[-82.66554,35.31115],[-82.66558,35.311104],[-82.665665,35.311012],[-82.665764,35.3109],[-82.665794,35.31086],[-82.665825,35.310814],[-82.66585,35.310783],[-82.66595,35.310673],[-82.666,35.310616],[-82.66609,35.310482],[-82.66615,35.310387],[-82.66623,35.310284],[-82.666306,35.310165],[-82.66634,35.310112],[-82.66638,35.310055],[-82.66645,35.309948],[-82.6665,35.309875],[-82.66655,35.309765],[-82.6666,35.309666],[-82.666664,35.309563],[-82.666725,35.30945],[-82.66678,35.30935],[-82.66684,35.30923],[-82.66689,35.30913],[-82.666954,35.309017],[-82.667015,35.308903],[-82.66702,35.308887],[-82.66708,35.3088],[-82.666435,35.308002],[-82.66498,35.30703],[-82.66358,35.306877],[-82.66305,35.30675],[-82.66162,35.30708],[-82.65574,35.308605],[-82.64109,35.312183]"
165836,,,P-16,,Turkey Pen,InPerson,,,4x4 recommendedDirectionsTurn left out of KH Right onto Maple StLeft onto Miner StRight onto Broad StTerritory begins at Baynard Rdsee backside for DNC,Territory Number: P16,"[-82.64507,35.316208],[-82.64347,35.317085],[-82.64082,35.31763],[-82.64005,35.317352],[-82.63978,35.318504],[-82.638405,35.31892],[-82.63654,35.319126],[-82.63788,35.320377],[-82.639114,35.320488],[-82.63988,35.321995],[-82.64231,35.325325],[-82.64286,35.326664],[-82.64364,35.32905],[-82.64374,35.329033],[-82.64387,35.329014],[-82.64398,35.329002],[-82.64415,35.328983],[-82.6443,35.328968],[-82.64436,35.328964],[-82.64454,35.328953],[-82.64472,35.328953],[-82.64494,35.328957],[-82.64517,35.328968],[-82.64541,35.32898],[-82.645584,35.328995],[-82.64574,35.329006],[-82.645935,35.329018],[-82.64607,35.329025],[-82.64638,35.329033],[-82.6465,35.329033],[-82.646706,35.329025],[-82.64694,35.329002],[-82.647026,35.328987],[-82.647194,35.328957],[-82.64726,35.32894],[-82.64745,35.328896],[-82.647545,35.32887],[-82.64759,35.328854],[-82.64764,35.32884],[-82.647736,35.328808],[-82.6478,35.328785],[-82.64786,35.32876],[-82.64796,35.328716],[-82.64805,35.32868],[-82.64815,35.328625],[-82.648254,35.32857],[-82.648346,35.32851],[-82.64839,35.32848],[-82.648445,35.32845],[-82.648605,35.32833],[-82.64879,35.32817],[-82.648834,35.32813],[-82.64889,35.32808],[-82.64902,35.32794],[-82.64921,35.327744],[-82.64935,35.327587],[-82.64957,35.327347],[-82.64973,35.327175],[-82.64989,35.326996],[-82.650154,35.32671],[-82.65044,35.326397],[-82.65076,35.32605],[-82.6508,35.326004],[-82.650856,35.325947],[-82.65093,35.325867],[-82.65112,35.325645],[-82.651184,35.32558],[-82.6513,35.325462],[-82.651505,35.32524],[-82.6517,35.325027],[-82.65207,35.32464],[-82.65236,35.324364],[-82.652565,35.324146],[-82.65262,35.324097],[-82.652725,35.32399],[-82.652885,35.323826],[-82.65315,35.32356],[-82.6533,35.323406],[-82.65336,35.323345],[-82.653465,35.323235],[-82.65394,35.322773],[-82.65438,35.32234],[-82.65453,35.322186],[-82.65466,35.32206],[-82.654884,35.321835],[-82.655075,35.321636],[-82.65519,35.321514],[-82.65518,35.321514],[-82.655,35.321564],[-82.65368,35.3217],[-82.65259,35.321857],[-82.65174,35.322365],[-82.65124,35.322914],[-82.650406,35.32341],[-82.649445,35.322754],[-82.651024,35.319084],[-82.65009,35.314713],[-82.64922,35.314903],[-82.64707,35.315655],[-82.64674,35.315613],[-82.64507,35.316208]"
165847,,,P-19,,Lime Kiln Ln,InPerson,,,Turn left out of KH Right onto Maple StLeft onto Miner StRight onto Broad StTerritory begins across highway from McGuire RdSee back side for No Trespassing and DNC,Territory Number: P19,"[-82.651024,35.319084],[-82.649445,35.322754],[-82.650406,35.32341],[-82.65124,35.322914],[-82.65174,35.322365],[-82.65259,35.321857],[-82.65368,35.3217],[-82.655,35.321564],[-82.65518,35.321514],[-82.6552,35.321514],[-82.65543,35.321274],[-82.655624,35.32108],[-82.655815,35.320885],[-82.65596,35.32074],[-82.65613,35.320568],[-82.65628,35.320415],[-82.65647,35.320225],[-82.65661,35.32008],[-82.656746,35.319942],[-82.65689,35.319798],[-82.65694,35.319748],[-82.657104,35.31956],[-82.65723,35.31944],[-82.6574,35.319252],[-82.6576,35.319046],[-82.65774,35.318905],[-82.65793,35.318707],[-82.65817,35.318443],[-82.65837,35.318237],[-82.65891,35.317657],[-82.65906,35.317497],[-82.655205,35.316853],[-82.65392,35.31642],[-82.650566,35.316936],[-82.651024,35.319084]"
165852,,,P-20,,McGuire Rd,InPerson,,,Suggest 4x4DirectionsTurn left out of KH Right onto Maple StLeft onto Miner StRight onto Broad StLeft onto McGuire Cirsee backside for DNC,Territory Number: P20,"[-82.6552,35.321514],[-82.655075,35.321636],[-82.6549,35.321815],[-82.65461,35.32211],[-82.65446,35.32226],[-82.65423,35.32249],[-82.65406,35.322655],[-82.6539,35.32281],[-82.653725,35.322983],[-82.65355,35.323154],[-82.653465,35.323235],[-82.653336,35.323368],[-82.65323,35.323483],[-82.6531,35.32361],[-82.65297,35.323742],[-82.65281,35.323902],[-82.65262,35.324097],[-82.65236,35.32436],[-82.65218,35.324528],[-82.65207,35.32464],[-82.65198,35.324738],[-82.65182,35.324905],[-82.65168,35.325054],[-82.651505,35.32524],[-82.65132,35.325436],[-82.651184,35.32558],[-82.65113,35.325645],[-82.650955,35.325836],[-82.65085,35.325954],[-82.650764,35.326042],[-82.65072,35.326088],[-82.65056,35.326263],[-82.65043,35.326405],[-82.64973,35.32718],[-82.64934,35.3276],[-82.6493,35.32765],[-82.64918,35.327774],[-82.64889,35.32808],[-82.64884,35.32812],[-82.648605,35.32833],[-82.64844,35.32845],[-82.648346,35.32851],[-82.648254,35.32857],[-82.64815,35.328625],[-82.64807,35.328667],[-82.64798,35.32871],[-82.647934,35.328728],[-82.64786,35.32876],[-82.64783,35.328773],[-82.64772,35.32881],[-82.64764,35.328842],[-82.64755,35.32887],[-82.64747,35.32889],[-82.647385,35.328915],[-82.64727,35.32894],[-82.6472,35.328957],[-82.646996,35.328995],[-82.65098,35.33213],[-82.65154,35.332737],[-82.65318,35.33442],[-82.66435,35.32916],[-82.666565,35.32044],[-82.66756,35.31907],[-82.666306,35.31643],[-82.66536,35.316402],[-82.66332,35.316456],[-82.66227,35.316074],[-82.66184,35.31597],[-82.66163,35.31599],[-82.66156,35.315975],[-82.660995,35.315575],[-82.66085,35.315704],[-82.66072,35.315823],[-82.66054,35.31599],[-82.66046,35.31606],[-82.66038,35.31614],[-82.66026,35.31626],[-82.66011,35.316406],[-82.65998,35.316532],[-82.659874,35.316647],[-82.659615,35.316917],[-82.65906,35.317497],[-82.65864,35.317955],[-82.65794,35.318684],[-82.65762,35.31903],[-82.65741,35.319252],[-82.65723,35.31944],[-82.657104,35.31956],[-82.656944,35.31974],[-82.65678,35.319916],[-82.65663,35.32006],[-82.656456,35.320236],[-82.65631,35.32038],[-82.65616,35.32054],[-82.65592,35.320774],[-82.65575,35.320953],[-82.6556,35.321102],[-82.65544,35.321262],[-82.655304,35.321404],[-82.6552,35.321514]"
165855,,,P-21,,Holland Rd,InPerson,,,DirectionsTurn left out of KH Right onto Maple StLeft onto Miner StRight onto Broad StLeft onto Holland Rdsee backside for DNC,Territory Number: P21,"[-82.66156,35.315975],[-82.66163,35.31599],[-82.66184,35.31597],[-82.66227,35.316074],[-82.66332,35.316456],[-82.66536,35.316402],[-82.666306,35.31643],[-82.66824,35.31793],[-82.67061,35.317905],[-82.67132,35.315323],[-82.669716,35.314907],[-82.66939,35.3148],[-82.66824,35.31445],[-82.667244,35.31407],[-82.666626,35.313805],[-82.666466,35.312557],[-82.66528,35.31155],[-82.665245,35.311462],[-82.66524,35.31146],[-82.66498,35.311733],[-82.66487,35.31185],[-82.66439,35.3123],[-82.663994,35.312675],[-82.66381,35.31285],[-82.663605,35.31305],[-82.66329,35.313354],[-82.66301,35.313633],[-82.66281,35.313824],[-82.66251,35.3141],[-82.66195,35.31464],[-82.66167,35.31493],[-82.660995,35.315575],[-82.66156,35.315975]"
165862,,,P-22,,Sutton Creek Rd,InPerson,,,DirectionsTurn left out of KH Right onto Maple StLeft onto Miner StRight onto Broad StLeft onto Lakeland Dr,Territory Number: P22,"[-82.667786,35.307644],[-82.667656,35.30782],[-82.66762,35.307884],[-82.6675,35.308083],[-82.66733,35.308376],[-82.66718,35.308628],[-82.66708,35.3088],[-82.66702,35.308887],[-82.66695,35.309032],[-82.66687,35.309166],[-82.66677,35.30936],[-82.66662,35.30964],[-82.6665,35.30988],[-82.66634,35.31012],[-82.66618,35.31034],[-82.666115,35.310448],[-82.66605,35.310535],[-82.666,35.310616],[-82.66588,35.31075],[-82.66585,35.310783],[-82.66579,35.310867],[-82.66572,35.31095],[-82.665565,35.311127],[-82.665474,35.311234],[-82.66524,35.31146],[-82.665245,35.311462],[-82.66528,35.31155],[-82.666466,35.312557],[-82.666626,35.313805],[-82.667244,35.31407],[-82.66824,35.31445],[-82.66939,35.3148],[-82.669716,35.314907],[-82.67132,35.315323],[-82.672264,35.319973],[-82.67815,35.3239],[-82.68301,35.32441],[-82.68863,35.32446],[-82.692215,35.323498],[-82.693275,35.321053],[-82.69172,35.319744],[-82.68966,35.317257],[-82.686104,35.31387],[-82.68447,35.309822],[-82.6742,35.304806],[-82.67252,35.304653],[-82.67081,35.304596],[-82.670586,35.304813],[-82.67035,35.305042],[-82.67007,35.305317],[-82.669876,35.305504],[-82.66962,35.305763],[-82.669464,35.305912],[-82.66922,35.30615],[-82.66899,35.30637],[-82.668945,35.306416],[-82.66882,35.306534],[-82.66864,35.306713],[-82.66844,35.306908],[-82.66829,35.307053],[-82.66825,35.30709],[-82.66793,35.307446],[-82.66791,35.307476],[-82.667786,35.307644]"
165885,,,P-24,,Pisgah Forest,InPerson,,,DirectionsTurn left out of KH Right onto Maple StLeft onto Miner StRight onto Broad StTerritory begins at Taco Bellsee backside for DNC,Territory Number: P24,"[-82.68059,35.29634],[-82.6805,35.29642],[-82.68029,35.296585],[-82.68018,35.296665],[-82.68008,35.29675],[-82.67996,35.296837],[-82.679695,35.297035],[-82.67952,35.297165],[-82.67934,35.2973],[-82.67908,35.297504],[-82.67879,35.297733],[-82.67856,35.297916],[-82.67845,35.298004],[-82.6783,35.298126],[-82.67826,35.298153],[-82.678116,35.298267],[-82.67798,35.29842],[-82.677895,35.298504],[-82.67787,35.29853],[-82.67769,35.298748],[-82.67765,35.298798],[-82.67759,35.298878],[-82.67737,35.299156],[-82.6773,35.29924],[-82.67724,35.299324],[-82.67717,35.299404],[-82.6771,35.299488],[-82.67704,35.29956],[-82.676865,35.29973],[-82.67673,35.29985],[-82.67661,35.29994],[-82.67653,35.29999],[-82.67651,35.300003],[-82.676346,35.300106],[-82.67623,35.300163],[-82.67599,35.300285],[-82.67591,35.300327],[-82.67578,35.30037],[-82.6757,35.300396],[-82.67542,35.300484],[-82.67518,35.30056],[-82.674866,35.30066],[-82.67469,35.300713],[-82.67464,35.300735],[-82.67441,35.300842],[-82.67428,35.300903],[-82.67401,35.30107],[-82.6739,35.30114],[-82.67363,35.301373],[-82.673454,35.30155],[-82.67337,35.301636],[-82.673225,35.30181],[-82.673035,35.30206],[-82.67295,35.30216],[-82.6728,35.30234],[-82.67266,35.3025],[-82.67249,35.3027],[-82.67243,35.302776],[-82.672386,35.30283],[-82.672264,35.302967],[-82.67204,35.303234],[-82.671936,35.30336],[-82.67183,35.30348],[-82.67173,35.303596],[-82.67161,35.303726],[-82.6715,35.30385],[-82.6714,35.30396],[-82.67135,35.304016],[-82.6713,35.304066],[-82.671234,35.304146],[-82.67119,35.304195],[-82.671104,35.304276],[-82.671,35.304394],[-82.67088,35.304512],[-82.67081,35.304596],[-82.67252,35.304653],[-82.6742,35.304806],[-82.68447,35.309822],[-82.686104,35.31387],[-82.68966,35.317257],[-82.69668,35.319336],[-82.70564,35.31674],[-82.72333,35.296944],[-82.72208,35.29638],[-82.720795,35.295807],[-82.72028,35.295578],[-82.718636,35.294834],[-82.71769,35.29441],[-82.71712,35.29415],[-82.71636,35.29381],[-82.71566,35.293495],[-82.707375,35.283634],[-82.70573,35.281673],[-82.704704,35.278774],[-82.70204,35.27843],[-82.70086,35.277927],[-82.70148,35.277145],[-82.70221,35.27537],[-82.702,35.275505],[-82.701904,35.275566],[-82.70172,35.27569],[-82.70149,35.275837],[-82.70131,35.275955],[-82.70115,35.27606],[-82.70087,35.276245],[-82.700676,35.276367],[-82.70042,35.27653],[-82.7001,35.276733],[-82.69982,35.276917],[-82.69968,35.27702],[-82.69941,35.277214],[-82.699036,35.27748],[-82.69892,35.277565],[-82.698715,35.27772],[-82.69855,35.27785],[-82.69842,35.27795],[-82.69821,35.278114],[-82.69808,35.278217],[-82.6979,35.27836],[-82.697754,35.278473],[-82.69768,35.27853],[-82.69751,35.278664],[-82.69734,35.278805],[-82.69722,35.2789],[-82.69715,35.278954],[-82.6971,35.279003],[-82.69699,35.279095],[-82.69691,35.279156],[-82.69674,35.279293],[-82.696594,35.279415],[-82.69644,35.27954],[-82.69631,35.279644],[-82.696266,35.27968],[-82.69617,35.27976],[-82.69593,35.279945],[-82.69574,35.2801],[-82.69559,35.280224],[-82.69545,35.280334],[-82.69513,35.280598],[-82.69497,35.280746],[-82.694786,35.28092],[-82.69451,35.281174],[-82.694305,35.28136],[-82.69414,35.281517],[-82.69397,35.28167],[-82.693726,35.281914],[-82.693565,35.282066],[-82.69343,35.28221],[-82.6933,35.28234],[-82.693146,35.2825],[-82.6929,35.28275],[-82.69285,35.282814],[-82.69265,35.28302],[-82.69243,35.283253],[-82.69222,35.283466],[-82.691925,35.283802],[-82.69176,35.283993],[-82.691505,35.28427],[-82.69141,35.284397],[-82.69131,35.284508],[-82.691124,35.28472],[-82.69084,35.28504],[-82.69077,35.285122],[-82.690636,35.285282],[-82.69053,35.285404],[-82.690384,35.285576],[-82.69019,35.285805],[-82.68976,35.286312],[-82.68946,35.286663],[-82.689255,35.28691],[-82.68909,35.28713],[-82.6889,35.287365],[-82.68881,35.28747],[-82.688736,35.287582],[-82.68854,35.287857],[-82.68835,35.28812],[-82.68827,35.28823],[-82.688194,35.28833],[-82.68813,35.288418],[-82.68797,35.288635],[-82.687904,35.288734],[-82.68771,35.288994],[-82.68753,35.28925],[-82.68745,35.289356],[-82.68732,35.289536],[-82.687256,35.28962],[-82.687126,35.289783],[-82.68694,35.29004],[-82.68679,35.290253],[-82.6867,35.290382],[-82.68649,35.290665],[-82.68642,35.290764],[-82.68618,35.291046],[-82.68596,35.291313],[-82.68584,35.29146],[-82.68576,35.29155],[-82.68567,35.291653],[-82.68555,35.29177],[-82.68547,35.291847],[-82.68533,35.29198],[-82.68506,35.292244],[-82.68477,35.29253],[-82.684425,35.292866],[-82.68434,35.292946],[-82.68413,35.293148],[-82.68391,35.293358],[-82.6838,35.293453],[-82.68347,35.29371],[-82.68341,35.293766],[-82.683075,35.294056],[-82.68269,35.294437],[-82.68226,35.29489],[-82.6822,35.294956],[-82.68212,35.295036],[-82.68206,35.295105],[-82.682014,35.29515],[-82.68189,35.295265],[-82.68148,35.295563],[-82.6813,35.29571],[-82.681206,35.2958],[-82.680954,35.29603],[-82.68072,35.29623],[-82.68059,35.29634]"
165934,,,P-4,,Capps Road,InPerson,,,Directions1. Turn left out of KH 2. Right onto Maple St3. Left onto Miner St4. Right onto Broad St5. Right onto Capps Rdsee backside for DNC,Territory Number: P4,"[-82.68534,35.28045],[-82.68541,35.280537],[-82.68546,35.280598],[-82.68555,35.280704],[-82.68558,35.280746],[-82.68561,35.280785],[-82.68572,35.28093],[-82.6858,35.281025],[-82.68592,35.281227],[-82.68593,35.28124],[-82.685974,35.28135],[-82.68605,35.281525],[-82.6862,35.28187],[-82.68631,35.28211],[-82.68637,35.282864],[-82.68648,35.283184],[-82.68659,35.283344],[-82.686646,35.283382],[-82.68717,35.28378],[-82.68761,35.28398],[-82.687744,35.284046],[-82.68778,35.28406],[-82.68781,35.284077],[-82.68789,35.28412],[-82.68798,35.28417],[-82.68817,35.28427],[-82.688515,35.28445],[-82.688866,35.284622],[-82.68913,35.284946],[-82.689156,35.285168],[-82.68918,35.28534],[-82.68921,35.285576],[-82.68908,35.285976],[-82.68905,35.28635],[-82.68906,35.286636],[-82.68916,35.28679],[-82.689255,35.28691],[-82.689384,35.28675],[-82.68962,35.28648],[-82.6898,35.28627],[-82.68995,35.28609],[-82.69001,35.28602],[-82.69018,35.285824],[-82.69024,35.285744],[-82.69037,35.2856],[-82.69057,35.285362],[-82.69071,35.285194],[-82.69089,35.284996],[-82.69105,35.28481],[-82.691185,35.284657],[-82.69133,35.284485],[-82.69135,35.284462],[-82.691376,35.284435],[-82.691475,35.284313],[-82.691505,35.28427],[-82.69159,35.28418],[-82.691765,35.28398],[-82.6919,35.283833],[-82.69208,35.283627],[-82.69222,35.283466],[-82.69233,35.283356],[-82.69255,35.283123],[-82.69264,35.283028],[-82.69277,35.282894],[-82.69285,35.28281],[-82.6929,35.28275],[-82.693,35.28265],[-82.693146,35.2825],[-82.693214,35.28243],[-82.693344,35.282295],[-82.693474,35.282166],[-82.693565,35.282066],[-82.69371,35.281925],[-82.69397,35.281673],[-82.69443,35.28125],[-82.69471,35.280987],[-82.69482,35.280888],[-82.69494,35.280773],[-82.69513,35.2806],[-82.69501,35.280552],[-82.69497,35.280518],[-82.6949,35.28045],[-82.69485,35.280334],[-82.69484,35.28032],[-82.6948,35.28021],[-82.6948,35.280193],[-82.694786,35.280132],[-82.69476,35.28005],[-82.69473,35.27995],[-82.69471,35.27985],[-82.69469,35.27978],[-82.694664,35.279686],[-82.69462,35.279533],[-82.69459,35.27944],[-82.69455,35.27928],[-82.694496,35.27907],[-82.694466,35.278934],[-82.694435,35.27887],[-82.69436,35.2787],[-82.69427,35.27861],[-82.6941,35.27853],[-82.69378,35.278458],[-82.693596,35.278423],[-82.69327,35.278393],[-82.69307,35.278435],[-82.69289,35.278465],[-82.692795,35.27847],[-82.692696,35.278473],[-82.69246,35.278446],[-82.69212,35.27834],[-82.69191,35.278275],[-82.69181,35.278244],[-82.69169,35.278202],[-82.69153,35.27815],[-82.69139,35.2781],[-82.691345,35.278076],[-82.69125,35.27804],[-82.6912,35.27802],[-82.691,35.277916],[-82.690895,35.27784],[-82.69083,35.277794],[-82.69058,35.277603],[-82.690315,35.277298],[-82.69018,35.277134],[-82.69012,35.277035],[-82.69007,35.276905],[-82.689964,35.27671],[-82.6899,35.276585],[-82.68966,35.27612],[-82.689575,35.275955],[-82.68952,35.275856],[-82.68945,35.27572],[-82.68941,35.275635],[-82.689316,35.27545],[-82.68929,35.275402],[-82.68922,35.275234],[-82.68917,35.27504],[-82.68915,35.274906],[-82.6891,35.27447],[-82.689095,35.274433],[-82.689095,35.27432],[-82.689095,35.2743],[-82.689095,35.274265],[-82.68907,35.274017],[-82.68906,35.273884],[-82.68903,35.273617],[-82.689026,35.27347],[-82.689,35.273193],[-82.689,35.273117],[-82.688965,35.273003],[-82.688866,35.273125],[-82.68844,35.27364],[-82.68827,35.27385],[-82.68809,35.274067],[-82.688,35.274178],[-82.687775,35.274452],[-82.68769,35.274555],[-82.68754,35.27478],[-82.68748,35.274864],[-82.68732,35.275093],[-82.68721,35.27525],[-82.687096,35.275406],[-82.68697,35.275677],[-82.6869,35.27585],[-82.68681,35.276028],[-82.68678,35.276096],[-82.68674,35.276184],[-82.68669,35.27629],[-82.68663,35.276417],[-82.68655,35.27659],[-82.68645,35.27679],[-82.68621,35.277122],[-82.686104,35.27721],[-82.68604,35.277245],[-82.68596,35.277283],[-82.68576,35.277325],[-82.68532,35.27733],[-82.6852,35.27733],[-82.685074,35.27733],[-82.68491,35.277332],[-82.68472,35.27738],[-82.68459,35.277435],[-82.68449,35.277493],[-82.684395,35.27755],[-82.68425,35.27764],[-82.68412,35.277744],[-82.683975,35.27786],[-82.68383,35.27798],[-82.68364,35.278133],[-82.68363,35.27815],[-82.683586,35.278194],[-82.68355,35.27826],[-82.68354,35.278294],[-82.68353,35.27833],[-82.68353,35.278385],[-82.68358,35.278503],[-82.68361,35.278545],[-82.68366,35.278603],[-82.683685,35.278625],[-82.68376,35.27871],[-82.683784,35.278732],[-82.683914,35.27886],[-82.684,35.27894],[-82.68411,35.27905],[-82.68419,35.27912],[-82.684326,35.279263],[-82.68449,35.279423],[-82.6847,35.279636],[-82.684715,35.27965],[-82.68474,35.279682],[-82.6848,35.27976],[-82.68485,35.27983],[-82.68492,35.27991],[-82.68503,35.28005],[-82.68508,35.280117],[-82.68525,35.280327],[-82.68534,35.28045]"
